,Anger,Contempt,Disgust,Fear,Happy,Sadness,Surprise
Anger,123,0,7,0,0,3,2
Contempt,1,48,0,3,0,2,0
Disgust,6,0,168,0,3,0,0
Fear,0,1,0,71,0,2,1
Happy,0,0,0,0,207,0,0
Sadness,8,0,0,0,0,75,1
Surprise,0,0,2,2,0,1,244
